BRAND, MODEL, TYPE, LINK,image_url
Behringer,FX600 Digital Multi-FX Pedal,['Multi-Effects Pedals and Processors'],https://reverb.com/p/behringer-fx600-digital-multi-fx-pedal,https://rvb-img.reverb.com/image/upload/s--SEchGd5h--/t_card-square/v1643477149/e8tpmhcevlfjjuuoekeg.jpg
Behringer,NR300 Noise Reducer Pedal,['Noise Reduction and Gates'],https://reverb.com/p/behringer-nr300-noise-reducer-pedal,https://rvb-img.reverb.com/image/upload/s--jQB8SnHO--/t_card-square/v1634743096/sexkbz2jxompvx8m1lxz.jpg
Behringer,UO300 3-Mode Octaver Effects Pedal,['Octave and Pitch-Shifting Pedals'],https://reverb.com/p/behringer-uo300-3-mode-octaver-effects-pedal,https://rvb-img.reverb.com/image/upload/s--Rv1t7v6l--/t_card-square/v1547528198/rzpu2otftyr3o1ox7fm8.jpg
Behringer,TM300 Tube Amp Modeler Pedal,['Amp Modeling Pedals'],https://reverb.com/p/behringer-tm300-tube-amp-modeler-pedal,https://rvb-img.reverb.com/image/upload/s--5Mo_dZqQ--/t_card-square/v1518033129/loyz409xjrkjtihid0fv.jpg
Behringer,RV600 Reverb Machine Pedal,['Reverb Pedals'],https://reverb.com/p/behringer-rv600-reverb-machine-pedal,"https://rvb-img.reverb.com/image/upload/s--KSU6UwjK--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1427308892/ozk4lpd3nme4vnmhaxen.jpg"
Behringer,BDI21 V-Tone Bass Driver DI,"['Amp Modeling Pedals', 'Bass Effect Pedals']",https://reverb.com/p/behringer-bdi21-bass-amp-modeler-dr-preamp-di,https://rvb-img.reverb.com/image/upload/s--SuioGajy--/t_card-square/v1634748217/bcmdhl9ob4o29lmvjlov.jpg
Behringer,UT300 Ultra Tremolo Pedal,['Tremolo Pedals'],https://reverb.com/p/behringer-ut300-ultra-tremolo-pedal,https://rvb-img.reverb.com/image/upload/s--oJzDog6L--/t_card-square/v1523308546/wrh0crson2ci2we85f0o.jpg
Behringer,Octave Divider,['Octave and Pitch-Shifting Pedals'],https://reverb.com/p/behringer-octave-divider,https://rvb-img.reverb.com/image/upload/s--_lVPJM-_--/t_card-square/v1650308412/coejkunhcmbfdqsxhykd.png
Behringer,HM300 Heavy Metal Pedal,['Distortion Pedals'],https://reverb.com/p/behringer-hm300-heavy-metal-pedal,https://rvb-img.reverb.com/image/upload/s--GZEekrul--/t_card-square/v1635447167/vo0jjtlf8h3dryfzvykc.jpg
Behringer,Bi-Phase,['Phaser Pedals'],https://reverb.com/p/behringer-bi-phase,https://rvb-img.reverb.com/image/upload/s--N67rgIuh--/t_card-square/v1656343948/tdo7s6pp5bbo5rqcaoed.png
Behringer,VT999 Vintage Tube Monster Vacuum Tube Overdrive,['Overdrive and Boost Pedals'],https://reverb.com/p/behringer-vt999-vintage-tube-monster-vacuum-tube-overdrive,"https://rvb-img.reverb.com/image/upload/s--X2YW78-C--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1523836079/flhvycguhmxpvuol1ng6.jpg"
Behringer,BEQ700 7-Band Graphic Equalizer,['EQ Pedals'],https://reverb.com/p/behringer-beq700-7-band-graphic-equalizer,"https://rvb-img.reverb.com/image/upload/s---As1-8vb--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1410296676/d9idrbjhgwpg6ouokcvw.jpg"
Behringer,VP1 Vintage Phase Shifter,['Phaser Pedals'],https://reverb.com/p/behringer-vp1-vintage-phase-shifter,https://rvb-img.reverb.com/image/upload/s--UImWBux7--/t_card-square/v1529342989/kknl9qpcmblidejzybke.jpg
Behringer,UM300 Ultra Metal Distortion Pedal,['Distortion Pedals'],https://reverb.com/p/behringer-um300-ultra-metal-distortion-pedal,"https://rvb-img.reverb.com/image/upload/s--TXAZNX4B--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1410294751/zhbc0vcnpx23wrdpu0py.jpg"
Benson Amps,Preamp Pedal,"['Overdrive and Boost Pedals', 'Preamps']",https://reverb.com/p/benson-amps-preamp-pedal,https://rvb-img.reverb.com/image/upload/s--vrsbELH0--/t_card-square/v1575994632/ty55ykoskwpxnb5nm3gi.jpg
Benson Amps,Germanium Boost,['Overdrive and Boost Pedals'],https://reverb.com/p/benson-amps-germanium-boost,https://rvb-img.reverb.com/image/upload/s--ta7RikOn--/t_card-square/v1633023219/rfkjwsfcahjzma9ql5sk.png
Benson Amps,Germanium Fuzz,['Fuzz Pedals and Effects'],https://reverb.com/p/benson-amps-germanium-fuzz,https://rvb-img.reverb.com/image/upload/s--w-f7HvXp--/t_card-square/v1612271174/bdjxojh6dyzfwltqaq7x.jpg
Benson Amps,Tall Bird All-Tube Spring Reverb,['Reverb Pedals'],https://reverb.com/p/benson-amps-tall-bird-all-tube-spring-reverb-1,https://rvb-img.reverb.com/image/upload/s--9Ak2wQ9x--/t_card-square/v1521307181/ublttq6shmu2qgx7vwuy.jpg
Boss,DS-1 Distortion (Silver Label),['Distortion Pedals'],https://reverb.com/p/boss-ds-1-distortion,https://rvb-img.reverb.com/image/upload/s--amJbgvM3--/t_card-square/v1620683265/ysdldm3ipwasdfkgoyap.png
Boss,TU-3 Chromatic Tuner,['Tuner Pedals'],https://reverb.com/p/boss-tu-3-chromatic-tuner,https://rvb-img.reverb.com/image/upload/s--JY6vSfpf--/t_card-square/v1440811836/n4mg2ipkfa4eim4jqqh2.jpg
